au,af,ti,ab,so,py,vl,is,de,id,nr,tc,z9,u1,u2,pu,pi,pa,sn,ei,bn,j9,ji,pd,di,ga,ut,ty,cy
"Paschel, TS","Paschel, Tianna S.",The Right to Difference: Explaining Colombia's Shift from Color Blindness to the Law of Black Communities,"Drawing on archival analysis and in-depth interviews, this article examines Colombia's adoption of policies for black Colombians in 1993. It argues that Afro-Colombian activists were able to seize upon changes in global policy norms around multiculturalism and state disequilibrium both by deploying traditional social movement strategies and by framing their demands in terms of ethnic difference. This case extends our understanding of how social movements make strategic use of political openings and also illustrates the circumstances under which an ethnic difference framing can be a more effective political strategy for achieving rights for black populations than a racial equality framing.",AMERICAN JOURNAL OF SOCIOLOGY,2010,116,3,,LATIN-AMERICA; MOVEMENTS; OPPORTUNITY; ETHNICITY; DEMOCRACY; IDENTITY; RACE,68,28,28,0,24,UNIV CHICAGO PRESS,CHICAGO,"1427 E 60TH ST, CHICAGO, IL 60637-2954 USA",0002-9602,1537-5390,,AM J SOCIOL,Am. J. Sociol.,NOV,10.1086/655752,733WE,WOS:000288294300001,8,3.5
"Stepan-Norris, J; Southworth, C","Stepan-Norris, Judith; Southworth, Caleb","Rival Unionism and Membership Growth in the United States, 1900 to 2005: A Special Case of Inter-organizational Competition","This article uses time-series data from 1900 to 2005 to explore the effects of rivalry between labor unions as a special case of inter-organizational competition. Holding constant economic and political factors that typically account for changes in union density, we investigate how competition from rival labor federations and from independent unions affect both union density and a measure for the density of the dominant federation (AFL/AFL-CIO), adjusted for membership changes from mergers and splits. We measure competition by the number of unions and the size of rivals. While much existing literature measures state regulation with categorical coding for specific periods, we measure the effect of state enforcement directly with counts of pro-labor and pro-management unfair labor practice cases adjudicated by the National Labor Relations Board. We assess the effect of left-wing political culture using the popular vote for socialist and communist candidates in presidential elections. Both the number of members in rival unions and the total number of rival unions positively impact the rate of change in overall union density and in AFL density. The size of independent unions has a negative impact on AFL/AFL-CIO density but no effect on overall union density. Unfair labor practices cases adjudicated for employers negatively affect union density but positively affect AFL/AFL-CIO density, while cases adjudicated for unions negatively affect AFL/AFL-CIO density.",AMERICAN SOCIOLOGICAL REVIEW,2010,75,2,trade unions; labor; work; competition; organizations; aggregation; social movements; working class; historical data; time series,AMERICAN LABOR UNIONS; POPULATION; UNCERTAINTY; MORTALITY; INDUSTRY; ECOLOGY,116,3,3,0,16,SAGE PUBLICATIONS INC,THOUSAND OAKS,"2455 TELLER RD, THOUSAND OAKS, CA 91320 USA",0003-1224,1939-8271,,AM SOCIOL REV,Am. Sociol. Rev.,APR,10.1177/0003122410365308,579PC,WOS:000276383000003,8,.375
"Andrews, KT; Caren, N","Andrews, Kenneth T.; Caren, Neal","Making the News: Movement Organizations, Media Attention, and the Public Agenda","Increasingly, scholars have come to see the news media as playing a pivotal role in shaping whether social movements are able to bring about broader social change. By drawing attention to movements' issues, claims, and supporters, the news media can shape the public agenda by influencing public opinion, authorities, and elites. Why are some social movement organizations more successful than others at gaining media coverage? Specifically, what organizational, tactical, and issue characteristics enhance media attention? We combine detailed organizational survey data from a representative sample of 187 local environmental organizations in North Carolina with complete news coverage of those organizations in 11 major daily newspapers in the two years following the survey (2,095 articles). Our analyses reveal that local news media favor professional and formalized groups that employ routine advocacy tactics, mobilize large numbers of people, and work on issues that overlap with newspapers' focus on local economic growth and well-being. Groups that are confrontational, volunteer-led, or advocate on behalf of novel issues do not garner as much attention in local media outlets. These findings have important implications and challenge widely held claims about the pathways by which movement actors shape the public agenda through the news media.",AMERICAN SOCIOLOGICAL REVIEW,2010,75,6,social movements; news media; organizations; environment; voluntary associations,LOCAL NEWSPAPER COVERAGE; US ENVIRONMENTAL MOVEMENT; NEW-YORK-TIMES; UNITED-STATES; SOCIAL-MOVEMENTS; NATIONAL-ORGANIZATION; COMMUNITY STRUCTURE; COLLECTIVE ACTION; SELECTION BIAS; EVENTS,121,121,123,7,103,SAGE PUBLICATIONS INC,THOUSAND OAKS,"2455 TELLER RD, THOUSAND OAKS, CA 91320 USA",0003-1224,,,AM SOCIOL REV,Am. Sociol. Rev.,DEC,10.1177/0003122410386689,697HT,WOS:000285504600002,8,15.375
"Stamatov, P","Stamatov, Peter","Activist Religion, Empire, and the Emergence of Modern Long-Distance Advocacy Networks","Considering long-distance advocacy as a distinctive institution of European modernity, the article examines the genesis and history of networks engaged in political action on behalf of distant others. Ever since the beginnings of European expansion overseas in the sixteenth century, such networks have originated from a persistent pattern of radicalization of religious actors against rival networks within the context of empire. In the late eighteenth century, the very same processes led to the establishment of modern forms of long-distance advocacy, with the international movement against colonial slavery and the slave trade. Throughout, long-distance advocacy was initiated and carried out by distinctively reformist and activist religious organizations within Catholicism and Protestantism. These findings highlight the importance of religious organizations in the imperial context for the configuration of modern forms of political activism.",AMERICAN SOCIOLOGICAL REVIEW,2010,75,4,empire; institutions; religion; social movements; transnational activism,NATION-STATE; POLITICS; SOCIETY; GLOBALIZATION; 18TH-CENTURY; MISSIONS,167,19,20,1,23,SAGE PUBLICATIONS INC,THOUSAND OAKS,"2455 TELLER RD, THOUSAND OAKS, CA 91320 USA",0003-1224,1939-8271,,AM SOCIOL REV,Am. Sociol. Rev.,AUG,10.1177/0003122410374083,654FX,WOS:000282155000006,8,2.5
"Maher, TV","Maher, Thomas V.","Threat, Resistance, and Collective Action: The Cases of Sobibor, Treblinka, and Auschwitz","How and why do movements transition from everyday resistance to overt collective action? This article examines this question taking repressive environments and threat as an important case in point. Drawing on primary and secondary data sources, I offer comparative insights on resistance group dynamics and perceptions of threat in three Nazi death camps-Sobibor, Treblinka, and Auschwitz-between 1941 and 1945. Prisoners formed resistance groups at each camp, but collective revolt occurred in only certain cases: when the collective perception of threat at a given camp was viewed as both immediate and lethal. The interpretation of changing, threatening conditions, and an understanding of structural and interactional opportunities for group identity and tactical strategizing, are vital for understanding collective action in repressive environments. I conclude by discussing these lessons pertaining to threat and their implications for repressive contexts and broader social movement theorizing.",AMERICAN SOCIOLOGICAL REVIEW,2010,75,2,threat; resistance; social movements; repression; Holocaust,SOCIAL-MOVEMENT THEORY; IRANIAN REVOLUTION; JEWISH RESISTANCE; POLITICAL PROTEST; WARSAW GHETTO; REPRESSION; OPPORTUNITY; CONTENTION; MOBILIZATION; INSURGENCY,95,27,27,2,19,SAGE PUBLICATIONS INC,THOUSAND OAKS,"2455 TELLER RD, THOUSAND OAKS, CA 91320 USA",0003-1224,,,AM SOCIOL REV,Am. Sociol. Rev.,APR,10.1177/0003122410365305,579PC,WOS:000276383000004,8,3.375
"Longhofer, W; Schofer, E","Longhofer, Wesley; Schofer, Evan",National and Global Origins of Environmental Association,"We examine the origins of voluntary associations devoted to environmental protection, focusing on the divergent trajectories of industrialized versus developing countries. We consider a wide range of domestic economic, political, and institutional dynamics that give rise to environmental associations. Developing and extending neo-institutional world polity arguments, we characterize domestic association in the developing world as the product of global cultural models, legitimation, and resources. Using event history and dynamic panel models, we analyze the formation of domestic environmental associations for a large sample of countries in the contemporary period. Among highly industrialized countries, domestic factors-resources and political institutions that afford favorable opportunities-largely explain the prevalence of environmental associations. In contrast, global forces are a powerful catalyst for environmental organizing in the developing world. The environmental movement, which had domestic origins in the West, became institutionalized in the world polity, generating new associations on a global scale. We also find positive effects of democratic institutions and philanthropic foundations. Environmental degradation and societal affluence are not primary drivers of environmental association. We conclude by reflecting on the implications of globally-sponsored voluntary associations, which appear to be common in the developing world.",AMERICAN SOCIOLOGICAL REVIEW,2010,75,4,social movements; environment; neo-institutionalism; globalization; voluntary associations,POSTMATERIALIST VALUES; RESOURCE MOBILIZATION; SOCIAL-MOVEMENTS; WORLD SOCIETY; HUMAN-RIGHTS; PANEL-DATA; MEMBERSHIP; PARTICIPATION; GLOBALIZATION; EXPLANATION,134,67,67,3,28,SAGE PUBLICATIONS INC,THOUSAND OAKS,"2455 TELLER RD, THOUSAND OAKS, CA 91320 USA",0003-1224,,,AM SOCIOL REV,Am. Sociol. Rev.,AUG,10.1177/0003122410374084,654FX,WOS:000282155000002,8,8.375
"Hallett, T","Hallett, Tim","The Myth Incarnate: Recoupling Processes, Turmoil, and Inhabited Institutions in an Urban Elementary School","The study of institutional myths has been central to organizational sociology, cultural sociology, and the sociology of education for 30 years. This article examines how the myth concept has been used and develops neglected possibilities by asking: What happens when myths become incarnate, and how does this occur? In other words, what happens when conformity to a rationalized cultural ideal such as ""accountability'' is no longer symbolic but is given tangible flesh? Data from a two-year ethnography of an urban elementary school provide answers and reveal ""recoupling'' processes through which institutional myths and organizational practices that were once loosely connected become tightly linked. In the school studied here, recoupling accountability with classroom practices created a phenomenon that teachers labeled ""turmoil.'' The findings advance our understanding of the micro-sociological foundations of institutional theory by ""inhabiting'' institutionalism with people, their work activities, social interactions, and meaning-making processes.",AMERICAN SOCIOLOGICAL REVIEW,2010,75,1,recoupling; institutional theory; inhabited institutionalism; accountability; turmoil,LOOSELY COUPLED SYSTEMS; ORGANIZATIONAL-CHANGE; SOCIAL-MOVEMENTS; SYMBOLIC POWER; CONSTRUCTION; FIELDS; ORDER; LEGITIMACY; MANAGEMENT; DIFFUSION,102,217,219,4,75,SAGE PUBLICATIONS INC,THOUSAND OAKS,"2455 TELLER RD, THOUSAND OAKS, CA 91320 USA",0003-1224,,,AM SOCIOL REV,Am. Sociol. Rev.,FEB,10.1177/0003122409357044,572JV,WOS:000275828900004,8,27.375
"Horton, LR","Horton, Lynn R.",DEFENDERS OF NATURE AND THE COMARCA: COLLECTIVE IDENTITY AND FRAMES IN PANAMA,"This article examines collective identities as both a resource and constraint in framing processes of social mobilization through a case study of Panama's Kuna Indians, one of Latin America's most effectively organized indigenous peoples. It highlights tensions between movement nurturance of distinct indigenous identity as intrinsically valuable and to a degree counterhegemonic and instrumental use of an environmental frame to advance indigenous land claims. This article also explores shifts in dominant discourse and institutional practices that provide both opportunities for identity-based movements as well as risks. One way identity groups address tensions between appropriation of externally generated frames for instrumental goals and the nurturing of distinct collective identities is to manage multiple frames aimed at distinct audiences with distinct content.",MOBILIZATION,2010,15,1,,SOCIAL-MOVEMENTS; POLITICS; RIGHTS; MOBILIZATION; AMERICA; PEOPLES,47,3,3,0,7,SAN DIEGO STATE UNIV,SAN DIEGO,"DEPT SOCIOLOGY, SAN DIEGO, CA 92182 USA",1086-671X,,,MOBILIZATION,Mobilization,MAR,,575RB,WOS:000276084100004,8,.375
"Glass, PG","Glass, Pepper G.",EVERYDAY ROUTINES IN FREE SPACES: EXPLAINING THE PERSISTENCE OF THE ZAPATISTAS IN LOS ANGELES,"While examining the radical potential of 'free spaces"" small-scale, grassroots sites for social movements-researchers neglect the daily activities underlying their continued existence. Based on participant observation at Zapatista community centers in Los Angeles, this article argues that everyday routines are important for the persistence of free spaces. Participants spent the majority of their time involved in routines. These were repetitive tasks for maintaining the organization; their focus was practical and immediate, as opposed to theoretical; and the rituals of participatory democracy structured them. At rare times, members reflected on their work, initiating abstract political talk to inspire and unify themselves in response to tedium from mundane activity or a crisis. Yet, reflection also distracted from applied work and even proliferated organizational schism. This suggests that free spaces retain stability by balancing both routine and reflection.While examining the radical potential of 'free spaces"" small-scale, grassroots sites for social movements-researchers neglect the daily activities underlying their continued existence. Based on participant observation at Zapatista community centers in Los Angeles, this article argues that everyday routines are important for the persistence of free spaces. Participants spent the majority of their time involved in routines. These were repetitive tasks for maintaining the organization; their focus was practical and immediate, as opposed to theoretical; and the rituals of participatory democracy structured them. At rare times, members reflected on their work, initiating abstract political talk to inspire and unify themselves in response to tedium from mundane activity or a crisis. Yet, reflection also distracted from applied work and even proliferated organizational schism. This suggests that free spaces retain stability by balancing both routine and reflection.",MOBILIZATION,2010,15,2,,SOCIAL-MOVEMENT; COLLECTIVE ACTION; WOMENS MOVEMENT; IRON LAW; ORGANIZATION; COMMUNITY; IDENTITY; POLITICS; PROTEST,83,9,9,0,7,,,,,,,,,,,,,8,1.125
"Kinchy, AJ","Kinchy, Abby J.",EPISTEMIC BOOMERANG: EXPERT POLICY ADVICE AS LEVERAGE IN THE CAMPAIGN AGAINST TRANSGENIC MAIZE IN MEXICO,"This article introduces the term ""epistemic boomerang"" to describe a distinctive pattern of activism in which activists, frustrated by exclusion from national politics, attempt to mobilize expert advice in support of social goals. Using expertise as leverage can be a desirable option for activists when political authorities favor technocratic decision making. Epistemic boomerang formation is possible when expert organizations encourage citizen participation in agenda setting and spaces are made for encounters between experts and activists. These processes are evident in the contentious politics of genetically engineered maize in Mexico. In this case, maize producers and community activists mobilized to confront an expert advisory group assembled by the tri-national Commission for Environmental Cooperation. As a result, the values and perspectives of many of the protesters were conveyed in the expert report and recommendations. This article examines the political outcomes of this epistemic boomerang and considers its implications for the study of social movements.",MOBILIZATION,2010,15,2,,SOCIAL-MOVEMENTS; SCIENCE; POLITICS; CONTESTATION; MOBILIZATION; COMMUNITIES; BOUNDARIES; ECOLOGY,78,7,7,0,12,SAN DIEGO STATE UNIV,SAN DIEGO,"DEPT SOCIOLOGY, SAN DIEGO, CA 92182 USA",1086-671X,,,MOBILIZATION,Mobilization,JUN,,613YG,WOS:000279020500004,8,.875
"Oselin, SS; Corrigall-Brown, C","Oselin, Sharon S.; Corrigall-Brown, Catherine",A BATTLE FOR AUTHENTICITY: AN EXAMINATION OF THE CONSTRAINTS ON ANTI-IRAQ WAR AND PRO-INVASION TACTICS,"Social movements are arenas where individuals can voice concerns about politics, culture, and social change. Movements work to create frames and collective identities that resonate with the public and bind participants together. However, movement participants are not always completely free to cultivate and adopt frames and identities. The emergence of countermovements, in particular, can fundamentally affect these tactics. However, we find that frame and identity resonance can also be influenced by other factors and conditions. We explore these issues based on participant observation and interviews with activists at two ongoing anti-Iraq war protests and one ongoing pro-invasion protest, both of which occurred over a three-month period in early 2003. We find that local context, movement-countermovement dynamics, the ability to assuage oppositional challenges, and intra-movement unity and cooperation shape overall movement trajectories and success.",MOBILIZATION,2010,15,4,,FRAMING PROCESSES; SOCIAL-MOVEMENTS; ABORTION DEBATE; COUNTERMOVEMENTS; IDENTITY; MOBILIZATION; ACTIVISM; OUTCOMES; CULTURE; TROOPS,74,4,4,0,9,SAN DIEGO STATE UNIV,SAN DIEGO,"DEPT SOCIOLOGY, SAN DIEGO, CA 92182 USA",1086-671X,,,MOBILIZATION,Mobilization,DEC,,699TH,WOS:000285685200006,8,.5
"Kenney, SJ","Kenney, Sally J.",MOBILIZING EMOTIONS TO ELECT WOMEN: THE SYMBOLIC MEANING OF MINNESOTA'S FIRST WOMAN SUPREME COURT JUSTICE,"Rosalie Wahl's appointment to the Minnesota Supreme Court and her subsequent election reveals how emotions make events historical, how they signal symbolic meanings, and how they mobilize social movements. The treatment of political women in the 1970s engendered the emotions that Wahl's appointment and campaign surfaced Relegating women party activists to the role of chore doers rather than decision makers humiliated them. Homemakers felt discarded and downwardly mobile after divorce. Exclusion and discrimination stung women lawyers. Feminism surfaced the powerful emotions of anger, exhilaration, solidarity, and hope that women would break down barriers. By deconstructing the rhetorical arguments of Wahl's speeches, interviewing participants in the campaigns, reading the letters that Minnesotans sent to Wahl, and examining my own emotional reactions, I uncover the emotional dimensions of these events. Understanding what catalyzed intense emotional identifications and what this historical event symbolized to participants facilitates theorizing gender as a social process and understanding why other women first to hold public office or first women candidacies generally do not become historical events.",MOBILIZATION,2010,15,2,,GENDER; CAMPAIGNS; IDENTITY; AGENDA,109,2,2,0,9,SAN DIEGO STATE UNIV,SAN DIEGO,"DEPT SOCIOLOGY, SAN DIEGO, CA 92182 USA",1086-671X,,,MOBILIZATION,Mobilization,JUN,,613YG,WOS:000279020500002,8,.25
"Rafail, P","Rafail, Patrick","ASYMMETRY IN PROTEST CONTROL? COMPARING PROTEST POLICING PATTERNS IN MONTREAL, TORONTO, AND VANCOUVER, 1998-2004","Scholars have argued that since the 1960s, protest policing in Western democracies has moved toward emphasizing cooperative relationships with challenging groups. This evolution is referred to as the negotiated management model of protest control. Much of the literature that informs this perspective is based on either analyses of a limited subset of demonstrations or from national-level observation. Few studies have examined whether negotiated management practices hold at city levels. This research examines city-level protest policing using 1,152 demonstrations occurring between 1998 and 2004 in Montreal, Toronto, and Vancouver, Canada. Bayesian logistic regression models are estimated using arrests as the response variable. The main findings suggest that only protestor premobilization and the police use of force are uniformly related to arrests; that there is considerable variation across cities; and that the larger pattern of results is not consistent with negotiated management practices.",MOBILIZATION,2010,15,4,,SOCIAL DISCIPLINARY MODEL; NEWSPAPER COVERAGE; UNITED-STATES; MEDIA COVERAGE; REPRESSION; WASHINGTON; EVENTS; BIAS,79,9,9,0,10,SAN DIEGO STATE UNIV,SAN DIEGO,"DEPT SOCIOLOGY, SAN DIEGO, CA 92182 USA",1086-671X,,,MOBILIZATION,Mobilization,DEC,,699TH,WOS:000285685200005,8,1.125
"Van Laer, J","Van Laer, Jeroen",ACTIVISTS ONLINE AND OFFLINE: THE INTERNET AS AN INFORMATION CHANNEL FOR PROTEST DEMONSTRATIONS,"Using individual-level data of protest participants in nine different protest demonstrations in Belgium, this article compares activists using the Internet and activists not using the Internet as an information channel about an upcoming demonstration. We find that ""online"" and ""offline"" activists differ significantly in terms of sociodemographic and political backgrounds, formal network and organizational embeddedness, and, to some extent, motivational aspects. The findings suggest that using digital communication channels likely extends and narrows the mobilizing potential to a public of experienced, organizationally embedded activists. The Internet is principally used by ""superactivists"" who are experienced and highly educated, and, who simultaneously combine multiple engagements. The article then discusses these results in light of two focal problems: that the Internet reinforces participation inequalities, and that the Internet might prove insufficient for sustained collective action participation and the maintenance of future social movement organizations.",MOBILIZATION,2010,15,3,,COLLECTIVE ACTION; SOCIAL-MOVEMENTS; COMPUTER-NETWORKS; DIGITAL MEDIA; WEAK TIES; GLOBALIZATION; MOBILIZATION; COMMUNICATION; PARTICIPATION; RECRUITMENT,91,40,41,1,36,SAN DIEGO STATE UNIV,SAN DIEGO,"DEPT SOCIOLOGY, SAN DIEGO, CA 92182 USA",1086-671X,,,MOBILIZATION,Mobilization,SEP,,660HN,WOS:000282631100005,8,5.125
"Halfmann, D; Young, MP","Halfmann, Drew; Young, Michael P.",WAR PICTURES: THE GROTESQUE AS A MOBILIZING TACTIC,"This article examines the uses and effects of grotesque imagery in the antislavery and antiabortion movements and considers implications for theories of movement framing and mobilization. Grotesque images can produce strong emotions that may increase the resonance of movement frames and provide physiological ""evidence"" of immorality. Such images may also produce confusion and ambiguity that deeply engages readers or viewers and potentially breaks frames. But grotesque images can also be counterproductive for activists. They can cause readers or viewers to turn away in disgust, and their use can taint activists as prurient, irrational, uncivil, or manipulative. Finally, the effects of grotesque images are likely to vary across audiences, social contexts, and the skill of the activists that deploy them.",MOBILIZATION,2010,15,1,,SOCIAL-MOVEMENTS; COLLECTIVE ACTION; ANIMAL RIGHTS; MOBILIZATION; TRANSFORMATION; IDENTITY; CULTURE; FRAME,100,23,23,0,8,SAN DIEGO STATE UNIV,SAN DIEGO,"DEPT SOCIOLOGY, SAN DIEGO, CA 92182 USA",1086-671X,,,MOBILIZATION,Mobilization,MAR,,575RB,WOS:000276084100001,8,2.875
"Opp, KD; Brandstatter, H","Opp, Karl-Dieter; Brandstaetter, Hermann",POLITICAL PROTEST AND PERSONALITY TRAITS: A NEGLECTED LINK,"We examine the extent to which personality traits and variables based on the theory of collective action (i.e., incentives) can explain protest participation. We use the Big Five personality traits, measured by a list of bipolar adjectives: Openness, Conscientiousness, Extraversion, Agreeableness, and Neuroticism. Incentives are political discontent and perceived personal influence, perceived obligation to protest and social incentives (i.e., integration in protest encouraging social networks). We hypothesize that personality traits have an effect on incentives and, together with incentives, on protest behavior. We test our hypotheses with a two-wave panel study, conducted in Leipzig (East Germany), where a total of 438 pet-sons were interviewed in 1993 and 1996. Major findings are that personality traits have only weak effects on protest, compared to the variables of the theory of collective action, and that personality traits have various effects on the independent variables (i.e., the incentives) of the theory of collective action.",MOBILIZATION,2010,15,3,,COLLECTIVE-ACTION; ATTITUDES; BEHAVIOR; PARTICIPATION; DETERMINANTS; MOVEMENT; IDENTITY; EARNINGS,72,7,7,1,17,SAN DIEGO STATE UNIV,SAN DIEGO,"DEPT SOCIOLOGY, SAN DIEGO, CA 92182 USA",1086-671X,,,MOBILIZATION,Mobilization,SEP,,660HN,WOS:000282631100004,8,.875
"Haydu, J; Kadanoff, D","Haydu, Jeffrey; Kadanoff, David",CASING POLITICAL CONSUMERISM,"In this article, we consider some of the ways in which the literature on political consumerism distinguishes this type of activism from social movements of the past. We then use three old and three recent U.S. examples of mobilization focused on food to highlight variations across cases-old and new-in how consumption-based identities are politicized and in how these movements are organized. We recommend using these variations in analytical properties, rather than broadly defined temporal periods, as the starting point for sorting and comparing cases of political consumerism.",MOBILIZATION,2010,15,2,,NEW-YORK-CITY; SOCIAL-MOVEMENTS; CITIZEN-CONSUMER; FOOD SYSTEM; CONSUMPTION; ACTIVISM; ORGANIZATIONS; AGRICULTURE; HOUSEWIVES; PROTEST,100,7,7,2,13,SAN DIEGO STATE UNIV,SAN DIEGO,"DEPT SOCIOLOGY, SAN DIEGO, CA 92182 USA",1086-671X,,,MOBILIZATION,Mobilization,JUN,,613YG,WOS:000279020500003,8,.875
"Earl, J; Kimport, K; Prieto, G; Rush, C; Reynoso, K","Earl, Jennifer; Kimport, Katrina; Prieto, Greg; Rush, Carly; Reynoso, Kimberly",CHANGING THE WORLD ONE WEBPAGE AT A TIME: CONCEPTUALIZING AND EXPLAINING INTERNET ACTIVISM,"Researchers studying Internet activism have disagreed over the extent to which Internet usage alters the processes driving collective action, and therefore also over the utility of existing social movement theory. We argue that some of this disagreement owes to scholars studying different kinds of Internet activism. Therefore, we introduce a typology of Internet activism, which shows that markedly different findings are associated with different types of Internet activism and that some types of Internet activism have been studied far more frequently than others. As a consequence, we ask an empirical question: is this skew in the selection of cases, and hence apparent trends in findings, a reflection of the empirical frequency of different types of Internet activism? Troublingly, using unique data from random samples of websites discussing 20 different issue areas commonly associated with social movements, we find a mismatch between trends in research cases studied and empirical frequency.",MOBILIZATION,2010,15,4,,SOCIAL-MOVEMENTS; COLLECTIVE ACTION; RESOURCE MOBILIZATION; ONLINE; ORGANIZATIONS; GLOBALIZATION; WEB; AGE,79,51,51,2,35,SAN DIEGO STATE UNIV,SAN DIEGO,"DEPT SOCIOLOGY, SAN DIEGO, CA 92182 USA",1086-671X,,,MOBILIZATION,Mobilization,DEC,,699TH,WOS:000285685200002,8,6.375
"Myers, DI","Myers, Daniel I.",VIOLENT PROTEST AND HETEROGENEOUS DIFFUSION PROCESSES: THE SPREAD OF U.S. RACIAL RIOTING FROM 1964 TO 1971,"This analysis of the diffusion of racial rioting in the United States applies recently developed extensions of event history analysis to the spread of rioting from 1969 to 1971. Contrary to early analyses of riot diffusion, the results demonstrate that diffusion is a critical force behind the pattern of rioting. The analysis identifies several types of diffusion in the riot cycle, demonstrating that contagious influence from riots decays over tune, is mitigated by geographic distance, and is conditional on riot severity. Methodologically, the analysis produces extensions of prior event-history diffusion models that facilitate their use with collective violence and protest data.",MOBILIZATION,2010,15,3,,EVENT HISTORY ANALYSIS; COLLECTIVE VIOLENCE; MOVEMENT ORGANIZATIONS; SPATIAL DIFFUSION; UNITED-STATES; RACE RIOTS; INNOVATION; MODELS; DISTURBANCES; DISORDERS,95,12,12,1,19,SAN DIEGO STATE UNIV,SAN DIEGO,"DEPT SOCIOLOGY, SAN DIEGO, CA 92182 USA",1086-671X,,,MOBILIZATION,Mobilization,SEP,,660HN,WOS:000282631100003,8,1.5
"Jung, JK","Jung, Jai Kwan",DISENTANGLING PROTEST CYCLES: AN EVENT-HISTORY ANALYSIS OF NEW SOCIAL MOVEMENTS IN WESTERN EUROPE,"The theory of protest cycles has informed us that the external political environment and the internal competition among social movement organizations are distinct elements leading to the emergence, development, and decline of popular protest. This theory, however, has not been examined systematically. I conduct an event-history analysis to test and refine the theory of protest cycles using a well-known new social movement event dataset. While proposing a general way of operationalizing the core concepts in social movement studies, I show that political opportunity only matters during the initial phase of social movement mobilization, rather than throughout the movement's lifespan. What explains declining frequencies of protest occurrence during the demobilization phase is the joint effect of two internal factors: the institutionalization of social movements and the growing violence during protests.",MOBILIZATION,2010,15,1,,POLITICAL OPPORTUNITIES; COLLECTIVE ACTION; REPRESSION; VIOLENCE; GERMANY; DEMOCRACIES; BOUNDARIES; CITIES; STATES,63,7,7,2,20,SAN DIEGO STATE UNIV,SAN DIEGO,"DEPT SOCIOLOGY, SAN DIEGO, CA 92182 USA",1086-671X,,,MOBILIZATION,Mobilization,MAR,,575RB,WOS:000276084100002,8,.875
"Moghadam, VM; Gheytanchi, E","Moghadam, Valentine M.; Gheytanchi, Elham",POLITICAL OPPORTUNITIES AND STRATEGIC CHOICES: COMPARING FEMINIST CAMPAIGNS IN MOROCCO AND IRAN,"How do women's rights activists mobilize in nondemocratic and culturally conservative contexts? Why do some women's movements succeed in securing the policy outcomes they seek while others fail to realize their objectives? Comparing two recent cases of feminist activism in the Middle East/North Africa region the Moroccan and Iranian campaigns for family law reform the article demonstrates the way that political opportunity structures shape the strategic options available to activists and influence movement frames. While a political opening is conducive to movement growth and success, including cooperation for legal and policy reform (Morocco), the closing of political space compels extrainstitutional feminist contention and transnational links (Iran). In examining the structure of political opportunity in addition to strategic choices, the paper addresses the interplay of structure and agency in mobilization processes and finds that-to paraphrase Marx-women and men make history, but not under conditions of their own choosing.",MOBILIZATION,2010,15,3,,WOMENS ACTIVISM; MOVEMENT; SOCIETY; PROTEST,75,18,18,0,17,SAN DIEGO STATE UNIV,SAN DIEGO,"DEPT SOCIOLOGY, SAN DIEGO, CA 92182 USA",1086-671X,,,MOBILIZATION,Mobilization,SEP,,660HN,WOS:000282631100002,8,2.25
"Ho, MS","Ho, Ming-sho",CO-OPTING SOCIAL TIES: HOW THE TAIWANESE PETROCHEMICAL INDUSTRY NEUTRALIZED ENVIRONMENTAL OPPOSITION,"This article seeks to understand how social ties can be manipulated by industrial producers in such a way that local opposition to pollution is neutralized. Social movement researchers argue that mobilization cannot proceed without pre-existing social ties, and further reflection suggests the nature of social ties is tremendously consequential. Clientelist ties are characterized by mass dependence and cooperation as beneficiaries expect favors from above. Thus, when clientelist leaders are politically excluded, a strong community-based protest is likely to take place under their leadership. However, if clientelist leaders are incorporated to share the benefits of industrial development, the result is likely to be community acquiescence even though popular grievances are endemic. This paper analyzes Taiwan's environmental politics since the late-1980s by focusing on how material compensations incorporated the previously excluded politicians. Elites thus played the role of redistributors and brokers, rather than protest leaders, and consequently, popular discontent over pollution was contained.",MOBILIZATION,2010,15,4,,POLLUTION DISPUTES; POLITICS; DEMOCRATIZATION; MOBILIZATION,61,5,5,0,9,SAN DIEGO STATE UNIV,SAN DIEGO,"DEPT SOCIOLOGY, SAN DIEGO, CA 92182 USA",1086-671X,,,MOBILIZATION,Mobilization,DEC,,699TH,WOS:000285685200003,8,.625
